BDL283,SOETA MAJA,105.274,-5.37221
BDL284,SOETA 3,105.283,-5.37755
BDL286,BUMIWARAS2 BDL,105.282,-5.44431
BDL302,RIDWAN RAIS 2,105.284,-5.42211
BDL303,SOHARI BDL,105.294,-5.41769
BDL305,RA BASYID BDL,105.262,-5.35792
BDL306,PERUMNAS WAY KANDIS,105.284,-5.36366
BDL307,RADEN SALEH BDL,105.291,-5.36617
BDL309,PERUM PERINTIS,105.257,-5.35041
BDL311,GARUDA HITAM 2 BDL,105.259,-5.40466
BDL322,BKP 2 LAMPUNG,105.211,-5.38794
BDL323,SUKADANAHAN 3,105.223,-5.4216
BDL324,KEDAUNG BDL,105.21,-5.40876
BDL325,WAY PANAS NATAR,105.192,-5.30129
BDL326,TANJUNG GADING 2 BDL,105.277,-5.42638
BDL331,MASTER MAGISTER UBL,105.246,-5.37411
BDL332,GUNUNG KUNYIT BDL,105.292,-5.44425
BDL334,SUDIRMAN BDL,105.263,-5.42259
BDL335,OPTIK INTERNATIONAL BDL,105.259,-5.41416
BDL336,GATOT SUBROTO BDL,105.28,-5.43442
BDL337,BUKIT KENCANA BDL,105.286,-5.39461
BDL338,URIP SUMOHARJO 2 BDL,105.277,-5.391
BDL339,DIPONEGORO 3 BDL,105.26,-5.42795
BDL341,PERUMAHAN SPRINGHILL BDL,105.211,-5.38416
BDL342,SULTAN AGUNG,105.267,-5.38109
BDL343,SULTAN AGUNG 2 BDL,105.259,-5.37815
BDL344,STADION PAHOMAN BDL,105.27,-5.42713
BDL345,WAY NGISON BDL,105.274,-5.43238
BDL346,TANJUNG RAYA BDL,105.275,-5.42091
BDL347,ANTASARI 3 BDL,105.28,-5.40454
BDL348,PLAZA MILENIUM,105.259,-5.419
BDL349,WAY HALIM 2 RELOC,105.275,-5.37726
BDL350,KONI BDL,105.279,-5.37929
BDL352,RYACUDU BDL,105.296,-5.37469
BDL353,TIRTAYASA 3,105.3,-5.396
BDL355,JAGABAYA 2,105.274,-5.39648
BDL356,MOROTAI 2,105.28,-5.39681
BDL357,SUKABUMI INDAH,105.3,-5.4009
BDL358,HOTEL POP LAMPUNG,105.251,-5.42459
BDL360,MALL BOEMI KEDATON,105.259,-5.38234
